5.645309990123455;0.0	8.807818305662256;0.0	9.732824853652124;0.0	9.690102661339244;0.0	10.005330558454503;0.0	
5.401865101629824;0.0	8.919633319615945;0.0	9.861303328886148;0.0	9.633488270596295;0.0	10.09839914446467;0.0	
6.114697824588807;0.0	8.621280232931351;0.0	10.070803946584657;0.0	9.811458307482058;0.0	10.025566671922409;0.0	
6.353388487144879;0.0	8.77608310607326;0.0	10.251547707255828;0.0	9.481458269367852;0.0	10.115997977666792;0.0	
6.93459363149399;0.0	8.907972876006346;0.0	10.192243888579789;0.0	8.99075176754632;0.0	10.183015923154683;0.0	
6.338548659524692;0.0	8.237395906076161;0.0	9.045097940384505;0.0	8.09007082721746;0.0	9.260689527888822;0.0	
5.56055691958989;0.0	6.5763608491048275;0.0	7.217024971108219;0.0	7.206087543983442;0.0	7.73917634551079;0.0	
4.330728092844291;0.0	6.4268853729049304;0.0	6.982816639796409;0.0	6.692587464500398;0.0	7.013371159464401;0.0	
4.640092212113608;0.0	5.6960214968563045;0.0	6.254787117687872;0.0	6.407879083687089;0.0	6.524442504785004;0.0	
1.6028353541576965;0.0	4.645807386958754;0.0	4.999621838619057;0.0	4.991916598592215;0.0	4.941886814512648;0.0	
2.3785380030953043;0.0	4.106857055291641;0.0	4.244318124409324;0.0	4.227159968049152;0.0	4.33291949430467;0.0	
4.047369524866061;0.0	6.08859429413724;0.0	6.515179793455319;0.0	6.738108929511483;0.0	7.115757610195451;0.0	
4.512293470901888;0.0	7.8865940245649995;0.0	9.318957819365409;0.0	8.407402528020269;0.0	9.256307518421783;0.0	
5.705464378086656;0.0	8.692644751524016;0.0	10.121817679119646;0.0	8.593415564585582;0.0	9.781008114006072;0.0	
6.351432837415357;0.0	7.167052659368408;0.0	8.096735832248848;0.0	8.182145060272752;0.0	7.97745004660284;0.0	
4.541493748995984;0.0	6.8288356557272785;0.0	7.24579079508404;0.0	6.789248017757313;0.0	7.4860472904450175;0.0	
5.88305947887118;0.0	6.590141202312944;0.0	6.740111722680945;0.0	7.109430802170313;0.0	7.1373074556956775;0.0	
4.977089340967132;0.0	7.201893139959247;0.0	9.014612959759084;0.0	8.640475395325453;0.0	8.88248180361179;0.0	
5.04363218157224;0.0	8.64801463283715;0.0	10.20983251960454;0.0	9.683899274514527;0.0	9.697090741354636;0.0	
6.877873455354134;0.0	7.062703036029503;0.0	8.515980533461377;0.0	8.619789988139484;0.0	8.35379549051459;0.0	
3.9523375608204003;0.0	6.971749761670265;0.0	7.579039840090457;0.0	7.36123813227826;0.0	7.986841915290287;0.0	
5.101149716860213;0.0	6.7132529488202675;0.0	6.9286608322170355;0.0	6.6217913949995655;0.0	7.109184990810212;0.0	
5.649606538014738;0.0	6.001580651456259;0.0	6.226933382309893;0.0	6.497727223076225;0.0	6.298845256047912;0.0	
6.468013767515403;0.0	6.828988091503972;0.0	8.386305015245565;0.0	8.30953372389831;0.0	8.242106160025767;0.0	
4.770874847628756;0.0	7.482936361159709;0.0	9.700760244262025;0.0	9.891883302065052;0.0	9.829786347002868;0.0	
6.669088127835792;0.0	7.186855934463563;0.0	8.337023284776425;0.0	9.015409829107861;0.0	8.414653199335383;0.0	
4.581807474149443;0.0	7.20193299741319;0.0	7.959143228180035;0.0	7.676320987794591;0.0	7.684818744394604;0.0	
6.14725510483285;0.0	7.040067527055698;0.0	7.1408900985081685;0.0	6.937280661090437;0.0	7.012415554347055;0.0	
6.122943945069501;0.0	6.056596093947601;0.0	6.376252689882967;0.0	6.294317897360914;0.0	6.219624638401548;0.0	
4.422348365455671;0.0	4.898151997147862;0.0	5.147043656010984;0.0	4.781880360236387;0.0	5.106641827601946;0.0	
2.028222757914356;0.0	4.508033155634063;0.0	4.158913035639686;0.0	5.015266140345396;0.0	4.199084536703252;0.0	
3.0751943903851497;0.0	4.447360384884241;0.0	4.279388794818098;0.0	4.064280675529887;0.0	4.12373693203315;0.0	
3.5696168986719137;0.0	4.3693364362939136;0.0	4.282558576523554;0.0	4.104122960491394;0.0	4.1234899899317705;0.0	
4.1384059578175965;0.0	4.184308864003315;0.0	4.159147432786446;0.0	4.106666465608617;0.0	4.1416465245622485;0.0	
3.781264158223291;0.0	5.106363701901295;0.0	5.938111581205065;0.0	5.403794860715927;0.0	5.174875145438248;0.0	
5.181919866269663;0.0	7.021596916841563;0.0	6.738722877197889;0.0	5.988875785074892;0.0	6.0908794674858635;0.0	
8.37092817914386;0.0	8.287348190674532;0.0	5.919838946031483;0.0	6.12699413744578;0.0	6.398394091712724;0.0	
6.352100845123113;0.0	6.293166574226647;0.0	5.10076035933458;0.0	4.843159518486871;0.0	4.391518475548246;0.0	
7.496402077250035;0.0	8.285041258614472;0.0	6.119559504400525;0.0	6.677596961579812;0.0	5.44213025494497;0.0	
7.847837291450103;0.0	10.417342205808344;0.0	6.9634378614227375;0.0	8.683991236209392;0.0	7.184279769223424;0.0	
6.894954104941066;0.0	7.67704027368455;0.0	6.292360479539204;0.0	7.794868924433603;0.0	6.95807672554516;0.0	
5.414394447922108;0.0	6.639487523080011;0.0	5.107292556094743;0.0	6.551612688985932;0.0	7.246478849853561;0.0	
9.6407887609936;0.0	9.725147302226661;0.0	8.659355222367031;0.0	7.719504002959842;0.0	6.680331526208782;0.0	
5.817019959977115;0.0	9.838364915943544;0.0	7.6129018146135685;0.0	7.012892844066046;0.0	7.11938571889032;0.0	
7.024821003773828;0.0	8.817268225351663;0.0	6.464539316663485;0.0	6.180633004263781;0.0	6.0173646459520125;0.0	
8.302967074781828;0.0	8.630517857781456;0.0	5.83747800916915;0.0	5.467086328120533;0.0	6.294843589185246;0.0	
9.14742794457904;0.0	9.424115358156516;0.0	5.440952768172938;0.0	6.384929077010332;0.0	7.342613448838991;0.0	
8.845446982371625;0.0	9.167718792944386;0.0	5.5185181730275366;0.0	6.094942693594832;0.0	7.475016128843786;0.0	
6.838647760384127;0.0	7.13966799803299;0.0	4.821021988902562;0.0	5.521665675253465;0.0	5.4551741373118725;0.0	
5.594665176310518;0.0	5.408268588412838;0.0	4.258606632821479;0.0	4.232608257839609;0.0	4.538884250542453;0.0	
3.827533617558748;0.0	4.45923353350006;0.0	4.2941736368294965;0.0	4.176356053293369;0.0	4.274432305945163;0.0	
3.0831288976656364;0.0	4.175990619365744;0.0	4.177761761629882;0.0	4.11849475426476;0.0	4.2806401769890785;0.0	
3.8874330384743274;0.0	4.158150750308553;0.0	3.9305496083076483;0.0	4.130849746076235;0.0	4.188804577194013;0.0	
3.837009058925564;0.0	4.33244450546002;0.0	4.221597010614005;0.0	4.23417423562892;0.0	4.082154291496065;0.0	
3.5634089807442724;0.0	4.170883805886594;0.0	4.087381369734633;0.0	4.107968024337123;0.0	4.076135994548133;0.0	
3.6113431292407006;0.0	3.9994484510419017;0.0	4.243981472624188;0.0	4.072209883461427;0.0	4.218065807678052;0.0	
3.6997132167562117;0.0	4.340596818290503;0.0	4.107510454061587;0.0	4.020853145282583;0.0	4.133550993826193;0.0	
5.704659879848262;0.0	5.850590211293387;0.0	4.160930278531511;0.0	4.161259987091346;0.0	4.1454020268286;0.0	
4.199406202418597;0.0	4.7622479143692775;0.0	4.132011241941103;0.0	4.274540790260805;0.0	4.205490378632446;0.0	
3.5561820937056563;0.0	3.978226528895438;0.0	4.174227220863686;0.0	4.141739493158012;0.0	4.252528661935342;0.0	
3.6020398907194893;0.0	4.204223283824301;0.0	4.01322573414559;0.0	4.125850929766815;0.0	4.365711134179785;0.0	
3.805495719348648;0.0	4.35391260597427;0.0	4.287892207953993;0.0	4.152154011263796;0.0	4.101890680588433;0.0	
2.9336623751827013;0.0	4.317851513886328;0.0	4.318730123492879;0.0	4.092475874621594;0.0	4.095135638223484;0.0	
